scheme,year,band,females
S0,1958,25-29,16758577.226916775
S0,1958,30-34,15816261.107973605
S0,1958,35-39,14721199.629491374
S0,1958,40-44,13594147.434381858
S0,1958,45-49,12291612.889417559
S0,1958,50-54,11001625.379881144
S0,1958,55-59,9338091.838710904
S0,1958,60-64,7516715.740262061
S0,1958,65-69,5721792.76592204
S0,1958,70-74,4349048.737891436
S0,1958,75+,6073609.935242295
S0,1958,0-8,
S0,1958,9-14,
S0,1958,0-17,
S0,1958,18-29,
S0,1958,30-65,
S0,1958,66+,
S0,1958,15-26,
S0,1958,27-45,
S0,1958,46-65,
S0,1959,00-04,14780374.65817149
S0,1959,05-09,15301638.109220847
S0,1959,10-14,15797897.051179878
S0,1959,15-19,16108070.792645082
S0,1959,20-24,16869972.32451146
S0,1959,25-29,17156079.390577123
S0,1959,30-34,16191412.168013394
S0,1959,35-39,15070376.568867818
S0,1959,40-44,13916591.454844743
S0,1959,45-49,12583161.667828828
S0,1959,50-54,11262576.523469836
S0,1959,55-59,9559585.087217987
S0,1959,60-64,7695007.174547732
S0,1959,65-69,5857509.836271971
S0,1959,70-74,4452205.244542807
S0,1959,75+,6217671.87187323
S0,1959,0-8,
S0,1959,9-14,
S0,1959,0-17,
S0,1959,18-29,
S0,1959,30-65,
S0,1959,66+,
S0,1959,15-26,
S0,1959,27-45,
S0,1959,46-65,
S0,1960,00-04,15126738.83676859
S0,1960,05-09,15660217.60652475
S0,1960,10-14,16168105.910037763
S0,1960,15-19,16485548.28140372
S0,1960,20-24,17265304.25907138
S0,1960,25-29,17558115.97513546
S0,1960,30-34,16570842.683517992
S0,1960,35-39,15423536.669484004
S0,1960,40-44,14242713.68649356
S0,1960,45-49,12878036.226561517
S0,1960,50-54,11526504.41140613
S0,1960,55-59,9783604.972575426
S0,1960,60-64,7875332.430229753
S0,1960,65-69,5994775.070069224
S0,1960,70-74,4556538.486976504
S0,1960,75+,6363377.16422832
S0,1960,0-8,
S0,1960,9-14,
S0,1960,0-17,
S0,1960,18-29,
S0,1960,30-65,
S0,1960,66+,
S0,1960,15-26,
S0,1960,27-45,
S0,1960,46-65,
S0,1961,00-04,15485055.37619642
S0,1961,05-09,16031170.99178564
S0,1961,10-14,16551089.963725887
S0,1961,15-19,16876051.791413747
S0,1961,20-24,17674278.337426037
S0,1961,25-29,17974026.068049237
S0,1961,30-34,16963366.615466148
S0,1961,35-39,15788883.64511332
S0,1961,40-44,14580089.768362641
S0,1961,45-49,13183086.338493884
S0,1961,50-54,11799539.942525089
S0,1961,55-59,10015355.352794915
S0,1961,60-64,8061880.363243878
S0,1961,65-69,6136777.062761396
S0,1961,70-74,4664472.068698347
S0,1961,75+,6514110.465646803
S0,1961,0-8,
S0,1961,9-14,
S0,1961,0-17,
S0,1961,18-29,
S0,1961,30-65,
S0,1961,66+,
S0,1961,15-26,
S0,1961,27-45,
S0,1961,46-65,
S0,1962,00-04,15855414.62140102
S0,1962,05-09,16414591.796169102
S0,1962,10-14,16946945.776789494
S0,1962,15-19,17279679.78315536
S0,1962,20-24,18096997.67717392
S0,1962,25-29,18403914.535744593
S0,1962,30-34,17369082.93376167
S0,1962,35-39,16166509.613336623
S0,1962,40-44,14928804.765528679
S0,1962,45-49,13498388.918121547
S0,1962,50-54,12081751.959253967
S0,1962,55-59,10254894.660779506
S0,1962,60-64,8254698.009272486
S0,1962,65-69,6283551.618340135
S0,1962,70-74,4776033.203784525
S0,1962,75+,6669909.781608224
S0,1962,0-8,
S0,1962,9-14,
S0,1962,0-17,
S0,1962,18-29,
S0,1962,30-65,
S0,1962,66+,
S0,1962,15-26,
S0,1962,27-45,
S0,1962,46-65,
S0,1963,00-04,16226515.55075735
S0,1963,05-09,16798780.441878892
