scheme,year,band,females
S0,1986,10-14,29244604.67369782
S0,1986,15-19,29818789.22623193
S0,1986,20-24,31229199.04391414
S0,1986,25-29,31758832.07129335
S0,1986,30-34,29973068.34121238
S0,1986,35-39,27897840.04874128
S0,1986,40-44,25761986.81278906
S0,1986,45-49,23293580.61574398
S0,1986,50-54,20848952.04526892
S0,1986,55-59,17696424.13889433
S0,1986,60-64,14244772.07642705
S0,1986,65-69,10843250.78072821
S0,1986,70-74,8241792.0487141255
S0,1986,75+,11509972.200389935
S0,1986,0-8,
S0,1986,9-14,
S0,1986,0-17,
S0,1986,18-29,
S0,1986,30-65,
S0,1986,66+,
S0,1986,15-26,
S0,1986,27-45,
S0,1986,46-65,
S0,1987,00-04,28004358.00633175
S0,1987,05-09,28991995.23721426
S0,1987,10-14,29932256.45493519
S0,1987,15-19,30519942.26811942
S0,1987,20-24,31963516.17997302
S0,1987,25-29,32505602.89235647
S0,1987,30-34,30677849.07133186
S0,1987,35-39,28553824.27613096
S0,1987,40-44,26367749.01466149
S0,1987,45-49,23841301.2083297
S0,1987,50-54,21339190.13092019
S0,1987,55-59,18112534.31430687
S0,1987,60-64,14579720.79606167
S0,1987,65-69,11098216.80940144
S0,1987,70-74,8435587.897422712
S0,1987,75+,11780615.383086449
S0,1987,0-8,
S0,1987,9-14,
S0,1987,0-17,
S0,1987,18-29,
S0,1987,30-65,
S0,1987,66+,
S0,1987,15-26,
S0,1987,27-45,
S0,1987,46-65,
S0,1988,00-04,28649799.920279875
S0,1988,05-09,29660200.12485538
S0,1988,10-14,30622132.39819701
S0,1988,15-19,31223363.14092312
S0,1988,20-24,32700208.41391209
S0,1988,25-29,33254789.09188073
S0,1988,30-34,31384909.365873717
S0,1988,35-39,29211930.23903708
S0,1988,40-44,26975470.512389794
S0,1988,45-49,24390793.36520896
S0,1988,50-54,21831013.857680514
S0,1988,55-59,18529990.36924068
S0,1988,60-64,14915752.88411424
S0,1988,65-69,11354007.50802241
S0,1988,70-74,8630010.565371722
S0,1988,75+,12052133.942398781
S0,1988,0-8,
S0,1988,9-14,
S0,1988,0-17,
S0,1988,18-29,
S0,1988,30-65,
S0,1988,66+,
S0,1988,15-26,
S0,1988,27-45,
S0,1988,46-65,
S0,1989,00-04,29304728.41610211
S0,1989,05-09,30338226.16020676
S0,1989,10-14,31322148.00620214
S0,1989,15-19,31937122.75925544
S0,1989,20-24,33447728.40948586
S0,1989,25-29,34014986.68695763
S0,1989,30-34,32102361.897469193
S0,1989,35-39,29879708.917588115
S0,1989,40-44,27592124.18452488
S0,1989,45-49,24948361.85277383
S0,1989,50-54,22330066.31556397
S0,1989,55-59,18953582.11347261
S0,1989,60-64,15256723.90756401
S0,1989,65-69,11613557.76943697
S0,1989,70-74,8827290.820530083
S0,1989,75+,12327643.229594745
S0,1989,0-8,
S0,1989,9-14,
S0,1989,0-17,
S0,1989,18-29,
S0,1989,30-65,
S0,1989,66+,
S0,1989,15-26,
S0,1989,27-45,
S0,1989,46-65,
S0,1990,00-04,29969591.59312952
S0,1990,05-09,31026537.245839193
S0,1990,10-14,32032782.226694815
S0,1990,15-19,32661709.47445478
S0,1990,20-24,34206587.61674133
S0,1990,25-29,34786715.80159459
S0,1990,30-34,32830697.5441325
