scheme,year,band,females
S0,1959,00-04,33952724.0
S0,1959,05-09,26918711.0
S0,1959,10-14,21043471.0
S0,1959,15-19,18872035.0
S0,1959,20-24,17707558.0
S0,1959,25-29,15613291.0
S0,1959,30-34,13514564.0
S0,1959,35-39,11814255.0
S0,1959,40-44,10368557.0
S0,1959,45-49,9015713.0
S0,1959,50-54,7556608.0
S0,1959,55-59,5848856.0
S0,1959,60-64,4692302.0
S0,1959,65-69,3031785.0
S0,1959,70-74,2223949.0
S0,1959,75+,1670413.9999999702
S0,1959,0-8,
S0,1959,9-14,
S0,1959,0-17,
S0,1959,18-29,
S0,1959,30-65,
S0,1959,66+,
S0,1959,15-26,
S0,1959,27-45,
S0,1959,46-65,
S0,1960,00-04,34631906.0
S0,1960,05-09,27858851.0
S0,1960,10-14,21935770.0
S0,1960,15-19,19073866.0
S0,1960,20-24,17914180.0
S0,1960,25-29,15932621.0
S0,1960,30-34,13793116.0
S0,1960,35-39,12011481.0
S0,1960,40-44,10550521.0
S0,1960,45-49,9146388.0
S0,1960,50-54,7814592.0
S0,1960,55-59,5937282.0
S0,1960,60-64,4909046.0
S0,1960,65-69,3064597.0
S0,1960,70-74,2332625.0
S0,1960,75+,1714862.0000000298
S0,1960,0-8,
S0,1960,9-14,
S0,1960,0-17,
S0,1960,18-29,
S0,1960,30-65,
S0,1960,66+,
S0,1960,15-26,
S0,1960,27-45,
S0,1960,46-65,
S0,1961,00-04,35340956.00000001
S0,1961,05-09,28752303.0
S0,1961,10-14,22924840.999999993
S0,1961,15-19,19372038.0
S0,1961,20-24,18080275.0
S0,1961,25-29,16232733.0
S0,1961,30-34,14087363.0
S0,1961,35-39,12225963.0
S0,1961,40-44,10731345.0
S0,1961,45-49,9291059.0
S0,1961,50-54,8033222.0
S0,1961,55-59,6083421.0
S0,1961,60-64,5068401.0
S0,1961,65-69,3161224.0
S0,1961,70-74,2394427.0
S0,1961,75+,1783885.9999999702
S0,1961,0-8,
S0,1961,9-14,
S0,1961,0-17,
S0,1961,18-29,
S0,1961,30-65,
S0,1961,66+,
S0,1961,15-26,
S0,1961,27-45,
S0,1961,46-65,
S0,1962,00-04,36048691.07843883
S0,1962,05-09,29612463.442025483
S0,1962,10-14,23983777.971998543
S0,1962,15-19,19750181.693990067
S0,1962,20-24,18198651.01410404
S0,1962,25-29,16556574.724663466
S0,1962,30-34,14404404.159537673
S0,1962,35-39,12457641.438582778
S0,1962,40-44,10910648.703989029
S0,1962,45-49,9456595.251280129
S0,1962,50-54,8199762.007092208
S0,1962,55-59,6310897.421874613
S0,1962,60-64,5135570.2157922685
S0,1962,65-69,3349559.0202225745
S0,1962,70-74,2388358.951839119
S0,1962,75+,1886771.6033998132
S0,1962,0-8,
S0,1962,9-14,
S0,1962,0-17,
S0,1962,18-29,
S0,1962,30-65,
S0,1962,66+,
S0,1962,15-26,
S0,1962,27-45,
S0,1962,46-65,
S0,1963,00-04,36742353.67898943
S0,1963,05-09,30420290.24670928
S0,1963,10-14,25142957.13862793
S0,1963,15-19,20143766.909254253
S0,1963,20-24,18260699.641405076
S0,1963,25-29,16865937.952911675
S0,1963,30-34,14716079.626448452
S0,1963,35-39,12692224.42400992
S0,1963,40-44,11081167.692934752
S0,1963,45-49,9640427.012766927
S0,1963,50-54,8314622.894059747
S0,1963,55-59,6591905.404895753
S0,1963,60-64,5140464.6674622
S0,1963,65-69,3611989.019447863
S0,1963,70-74,2325054.2448829114
S0,1963,75+,2014327.11462304
S0,1963,0-8,
S0,1963,9-14,
S0,1963,0-17,
S0,1963,18-29,
S0,1963,30-65,
S0,1963,66+,
S0,1963,15-26,
S0,1963,27-45,
S0,1963,46-65,
S0,1964,00-04,37449887.54392512
S0,1964,05-09,31159665.585003987
S0,1964,10-14,26442095.01908411
S0,1964,15-19,20516674.38674955
S0,1964,20-24,18358125.1286619
S0,1964,25-29,17153349.801583767
S0,1964,30-34,15034420.027270198
S0,1964,35-39,12945808.916565895
S0,1964,40-44,11260176.719992459
S0,1964,45-49,9836334.714172065
S0,1964,50-54,8415399.411627144
S0,1964,55-59,6876525.860216469
S0,1964,60-64,5149580.562893599
S0,1964,65-69,3870121.609543532
S0,1964,70-74,2272859.085441828
S0,1964,75+,2137230.994338721
S0,1964,0-8,
S0,1964,9-14,
S0,1964,0-17,
S0,1964,18-29,
S0,1964,30-65,
S0,1964,66+,
S0,1964,15-26,
S0,1964,27-45,
S0,1964,46-65,
S0,1965,00-04,38159591.10904095
S0,1965,05-09,31841680.918435104
S0,1965,10-14,27371690.373370826
S0,1965,15-19,21336235.381941557
S0,1965,20-24,18542736.71724905
S0,1965,25-29,17359844.75029397
S0,1965,30-34,15331345.909855306
S0,1965,35-39,13211726.71093914
S0,1965,40-44,11453789.591653258
S0,1965,45-49,10025835.658131659
S0,1965,50-54,8538257.763814509
S0,1965,55-59,7094132.083637685
S0,1965,60-64,5243618.527608246
S0,1965,65-69,4040366.456135124
S0,1965,70-74,2302736.7511051893
S0,1965,75+,2225010.6322815716
S0,1965,0-8,
S0,1965,9-14,
S0,1965,0-17,
S0,1965,18-29,
S0,1965,30-65,
S0,1965,66+,
S0,1965,15-26,
S0,1965,27-45,
S0,1965,46-65,
S0,1966,00-04,38640238.24116164
S0,1966,05-09,32520625.45595079
S0,1966,10-14,28242759.87441434
S0,1966,15-19,22224835.935937434
S0,1966,20-24,18808865.401791334
S0,1966,25-29,17517685.84254968
S0,1966,30-34,15596446.807495803
S0,1966,35-39,13483742.314720988
S0,1966,40-44,11657609.266135454
S0,1966,45-49,10211785.326042771
S0,1966,50-54,8666212.400531918
S0,1966,55-59,7261211.105162531
S0,1966,60-64,5383736.54068616
S0,1966,65-69,4150540.2650105357
S0,1966,70-74,2373963.6790616214
S0,1966,75+,2285277.4276647866
S0,1966,0-8,
S0,1966,9-14,
S0,1966,0-17,
S0,1966,18-29,
S0,1966,30-65,
S0,1966,66+,
S0,1966,15-26,
S0,1966,27-45,
S0,1966,46-65,
S0,1967,00-04,39043496.30222145
S0,1967,05-09,33207907.64728856
S0,1967,10-14,29075955.6178931
S0,1967,15-19,23151285.320758924
S0,1967,20-24,19134626.682634577
S0,1967,25-29,17604076.928170353
S0,1967,30-34,15857121.215930074
S0,1967,35-39,13762965.046197802
S0,1967,40-44,11869554.38595274
S0,1967,45-49,10394524.572284013
S0,1967,50-54,8807447.734003633
S0,1967,55-59,7372584.799357742
S0,1967,60-64,5598927.133600652
S0,1967,65-69,4179579.767937094
S0,1967,70-74,2512361.7732735574
S0,1967,75+,2320395.282986462
S0,1967,0-8,
S0,1967,9-14,
S0,1967,0-17,
S0,1967,18-29,
S0,1967,30-65,
S0,1967,66+,
S0,1967,15-26,
S0,1967,27-45,
S0,1967,46-65,
S0,1968,00-04,39401283.7853997
S0,1968,05-09,33915873.88550868
S0,1968,10-14,29860745.784788236
S0,1968,15-19,24180867.74942991
S0,1968,20-24,19542629.263383985
S0,1968,25-29,17697482.534228027
S0,1968,30-34,16143198.537558585
S0,1968,35-39,14070364.79068619
S0,1968,40-44,12106315.172505349
S0,1968,45-49,10585597.989467531
S0,1968,50-54,8969150.662053615
S0,1968,55-59,7436778.226485103
S0,1968,60-64,5871540.452025503
S0,1968,65-69,4155175.2883583903
S0,1968,70-74,2704425.1157702208
S0,1968,75+,2333093.579096794
S0,1968,0-8,
S0,1968,9-14,
S0,1968,0-17,
S0,1968,18-29,
S0,1968,30-65,
S0,1968,66+,
S0,1968,15-26,
S0,1968,27-45,
S0,1968,46-65,
S0,1969,00-04,39840056.97194759
S0,1969,05-09,34665878.14403079
S0,1969,10-14,30574695.96376212
S0,1969,15-19,25289177.066815227
S0,1969,20-24,19882105.587862313
S0,1969,25-29,17767243.778971404
S0,1969,30-34,16357814.65139088
S0,1969,35-39,14358471.656885445
S0,1969,40-44,12346904.109886825
S0,1969,45-49,10780291.348215342
S0,1969,50-54,9134807.613228232
S0,1969,55-59,7484508.081520468
S0,1969,60-64,6158643.292676568
S0,1969,65-69,4134981.338485807
S0,1969,70-74,2896257.3595744073
S0,1969,75+,2358726.4882446826
S0,1969,0-8,
S0,1969,9-14,
S0,1969,0-17,
S0,1969,18-29,
S0,1969,30-65,
S0,1969,66+,
S0,1969,15-26,
S0,1969,27-45,
S0,1969,46-65,
S0,1970,00-04,40223284.04614208
S0,1970,05-09,35433301.2569943
S0,1970,10-14,31231326.12777981
S0,1970,15-19,26037155.905524924
S0,1970,20-24,20694996.352937445
S0,1970,25-29,17945527.062489808
S0,1970,30-34,16503976.818921238
S0,1970,35-39,14638977.98823145
S0,1970,40-44,12608049.2508429
S0,1970,45-49,10997041.025324613
S0,1970,50-54,9292639.327137351
S0,1970,55-59,7548701.150406867
S0,1970,60-64,6395518.623281151
S0,1970,65-69,4178951.37834543
S0,1970,70-74,3022737.5350122154
S0,1970,75+,2417727.424822271
S0,1970,0-8,
S0,1970,9-14,
S0,1970,0-17,
S0,1970,18-29,
S0,1970,30-65,
S0,1970,66+,
S0,1970,15-26,
S0,1970,27-45,
S0,1970,46-65,
S0,1971,00-04,40652908.60904939
S0,1971,05-09,36146717.10279014
S0,1971,10-14,31913784.53254375
S0,1971,15-19,26769175.5251334
S0,1971,20-24,21681172.41166079
S0,1971,25-29,18289929.219500422
S0,1971,30-34,16658476.307778686
S0,1971,35-39,14933227.043475986
S0,1971,40-44,12905345.842725337
S0,1971,45-49,11247221.353491902
S0,1971,50-54,9457124.557483733
S0,1971,55-59,7624279.092429996
S0,1971,60-64,6606036.082566857
S0,1971,65-69,4262563.519862801
