scheme,year,band,females
S0,1974,30-34,16831059.493215602
S0,1974,35-39,15768292.32618806
S0,1974,40-44,13843139.970338657
S0,1974,45-49,12077616.037800187
S0,1974,50-54,9924868.892626576
S0,1974,55-59,7897164.80063768
S0,1974,60-64,7033852.437549104
S0,1974,65-69,4750125.591240015
S0,1974,70-74,3149617.2761423313
S0,1974,75+,2875435.0006616744
S0,1974,0-8,
S0,1974,9-14,
S0,1974,0-17,
S0,1974,18-29,
S0,1974,30-65,
S0,1974,66+,
S0,1974,15-26,
S0,1974,27-45,
S0,1974,46-65,
S0,1975,00-04,42449772.02718985
S0,1975,05-09,39029588.97041669
S0,1975,10-14,34759888.725501105
S0,1975,15-19,28968630.64584916
S0,1975,20-24,25985120.468388725
S0,1975,25-29,20485361.2738971
S0,1975,30-34,17029257.65383154
S0,1975,35-39,15986756.56568131
S0,1975,40-44,14173404.791232921
S0,1975,45-49,12406839.11460932
S0,1975,50-54,10108034.963881679
S0,1975,55-59,7990761.609374118
S0,1975,60-64,7188681.6287682485
S0,1975,65-69,4886933.394688602
S0,1975,70-74,3210789.77838514
S0,1975,75+,2994949.7247254457
S0,1975,0-8,
S0,1975,9-14,
S0,1975,0-17,
S0,1975,18-29,
S0,1975,30-65,
S0,1975,66+,
S0,1975,15-26,
S0,1975,27-45,
S0,1975,46-65,
S0,1976,00-04,42859536.65368631
S0,1976,05-09,39829863.689901106
S0,1976,10-14,35439954.12631899
S0,1976,15-19,29434844.97486167
S0,1976,20-24,26897860.079833303
S0,1976,25-29,21545621.26849646
S0,1976,30-34,17321589.031365175
S0,1976,35-39,16171594.40479342
S0,1976,40-44,14489759.350888465
S0,1976,45-49,12755995.50154577
S0,1976,50-54,10308198.395866059
S0,1976,55-59,8083705.139359787
S0,1976,60-64,7359396.384117179
S0,1976,65-69,4998609.824314556
S0,1976,70-74,3306211.110634023
S0,1976,75+,3106872.023423985
S0,1976,0-8,
S0,1976,9-14,
S0,1976,0-17,
S0,1976,18-29,
S0,1976,30-65,
S0,1976,66+,
S0,1976,15-26,
