scheme,year,band,females
S0,1958,25-29,14916027.404743142
S0,1958,30-34,12981958.71564319
S0,1958,35-39,11360465.667774837
S0,1958,40-44,9955891.580043366
S0,1958,45-49,8702804.726926642
S0,1958,50-54,7050542.106905015
S0,1958,55-59,5712789.800296858
S0,1958,60-64,4268319.966675065
S0,1958,65-69,3029187.270975472
S0,1958,70-74,1979103.92199619
S0,1958,75+,1624423.5709169162
S0,1958,0-8,
S0,1958,9-14,
S0,1958,0-17,
S0,1958,18-29,
S0,1958,30-65,
S0,1958,66+,
S0,1958,15-26,
S0,1958,27-45,
S0,1958,46-65,
S0,1959,00-04,33521060.43984037
S0,1959,05-09,26511775.71852438
S0,1959,10-14,20654615.67231745
S0,1959,15-19,18430847.59757136
S0,1959,20-24,17305703.24643907
S0,1959,25-29,15250573.00930104
S0,1959,30-34,13244386.26395317
S0,1959,35-39,11540772.52568705
S0,1959,40-44,10145594.71121106
S0,1959,45-49,8806505.570202528
S0,1959,50-54,7365997.55747468
S0,1959,55-59,5708164.642154547
S0,1959,60-64,4577431.981763467
S0,1959,65-69,2955483.736939466
S0,1959,70-74,2167367.440931907
S0,1959,75+,1626507.7673632917
S0,1959,0-8,
S0,1959,9-14,
S0,1959,0-17,
S0,1959,18-29,
S0,1959,30-65,
S0,1959,66+,
S0,1959,15-26,
S0,1959,27-45,
S0,1959,46-65,
S0,1960,00-04,34190030.15038795
S0,1960,05-09,27436482.351015925
S0,1960,10-14,21529961.33082566
S0,1960,15-19,18628122.82661412
S0,1960,20-24,17507786.60268318
S0,1960,25-29,15562576.200808387
S0,1960,30-34,13517295.594963757
S0,1960,35-39,11733521.17155234
S0,1960,40-44,10323634.04246602
S0,1960,45-49,8934216.605826255
S0,1960,50-54,7617507.530202232
S0,1960,55-59,5794553.362883748
S0,1960,60-64,4788859.012115949
S0,1960,65-69,2987544.010375981
S0,1960,70-74,2273294.426195804
S0,1960,75+,1669827.415067236
S0,1960,0-8,
S0,1960,9-14,
S0,1960,0-17,
S0,1960,18-29,
S0,1960,30-65,
S0,1960,66+,
S0,1960,15-26,
S0,1960,27-45,
S0,1960,46-65,
S0,1961,00-04,34888635.69635677
S0,1961,05-09,28315343.35567297
S0,1961,10-14,22500294.116540685
S0,1961,15-19,18919425.97387869
S0,1961,20-24,17670218.391955063
S0,1961,25-29,15855812.005703632
S0,1961,30-34,13805594.861218167
S0,1961,35-39,11943120.7185284
S0,1961,40-44,10500567.65846022
S0,1961,45-49,9075591.742368419
S0,1961,50-54,7830680.166762479
S0,1961,55-59,5937244.035645077
S0,1961,60-64,4944313.49586356
S0,1961,65-69,3081781.885030204
S0,1961,70-74,2333534.235137325
S0,1961,75+,1737060.508711238
S0,1961,0-8,
S0,1961,9-14,
S0,1961,0-17,
S0,1961,18-29,
S0,1961,30-65,
S0,1961,66+,
S0,1961,15-26,
S0,1961,27-45,
S0,1961,46-65,
S0,1962,00-04,35589612.07998277
S0,1962,05-09,29164449.422771376
S0,1962,10-14,23541483.95031708
S0,1962,15-19,19290593.106547955
S0,1962,20-24,17787638.9107444
S0,1962,25-29,16173753.06165424
S0,1962,30-34,14117583.531881891
S0,1962,35-39,12170657.980993561
S0,1962,40-44,10677039.13427223
S0,1962,45-49,9238212.391556762
S0,1962,50-54,7993860.043424718
S0,1962,55-59,6159867.859419191
S0,1962,60-64,5010328.780542624
S0,1962,65-69,3265687.422481543
S0,1962,70-74,2327843.029896033
S0,1962,75+,1837417.1711278837
S0,1962,0-8,
S0,1962,9-14,
S0,1962,0-17,
