scheme,year,band,females
S0,1958,20-24,17016287.143043846
S0,1958,25-29,14916027.404743135
S0,1958,30-34,12981958.715643197
S0,1958,35-39,11360465.667774826
S0,1958,40-44,9955891.580043375
S0,1958,45-49,8702804.726926655
S0,1958,50-54,7050542.106905013
S0,1958,55-59,5712789.800296843
S0,1958,60-64,4268319.966675073
S0,1958,65-69,3029187.2709754705
S0,1958,70-74,1979103.9219961762
S0,1958,75+,1624423.570916921
S0,1958,0-8,
S0,1958,9-14,
S0,1958,0-17,
S0,1958,18-29,
S0,1958,30-65,
S0,1958,66+,
S0,1958,15-26,
S0,1958,27-45,
S0,1958,46-65,
S0,1959,00-04,33521060.43984037
S0,1959,05-09,26511775.71852438
S0,1959,10-14,20654615.672317453
S0,1959,15-19,18430847.597571358
S0,1959,20-24,17305703.24643907
S0,1959,25-29,15250573.009301037
S0,1959,30-34,13244386.26395318
S0,1959,35-39,11540772.525687039
S0,1959,40-44,10145594.711211056
S0,1959,45-49,8806505.57020253
S0,1959,50-54,7365997.557474673
S0,1959,55-59,5708164.642154545
S0,1959,60-64,4577431.981763482
S0,1959,65-69,2955483.73693946
S0,1959,70-74,2167367.4409319162
S0,1959,75+,1626507.7673633099
S0,1959,0-8,
S0,1959,9-14,
S0,1959,0-17,
S0,1959,18-29,
S0,1959,30-65,
S0,1959,66+,
S0,1959,15-26,
S0,1959,27-45,
S0,1959,46-65,
S0,1960,00-04,34190030.15038795
S0,1960,05-09,27436482.351015918
S0,1960,10-14,21529961.330825657
S0,1960,15-19,18628122.82661411
S0,1960,20-24,17507786.602683187
S0,1960,25-29,15562576.200808376
S0,1960,30-34,13517295.59496376
S0,1960,35-39,11733521.17155233
S0,1960,40-44,10323634.042466015
S0,1960,45-49,8934216.605826259
S0,1960,50-54,7617507.53020224
S0,1960,55-59,5794553.362883747
S0,1960,60-64,4788859.012115955
S0,1960,65-69,2987544.0103759766
S0,1960,70-74,2273294.4261958003
S0,1960,75+,1669827.4150672257
S0,1960,0-8,
S0,1960,9-14,
S0,1960,0-17,
S0,1960,18-29,
S0,1960,30-65,
S0,1960,66+,
S0,1960,15-26,
S0,1960,27-45,
S0,1960,46-65,
S0,1961,00-04,34888635.69635677
S0,1961,05-09,28315343.35567297
S0,1961,10-14,22500294.116540685
S0,1961,15-19,18919425.97387868
S0,1961,20-24,17670218.391955063
S0,1961,25-29,15855812.005703643
S0,1961,30-34,13805594.861218184
S0,1961,35-39,11943120.71852839
S0,1961,40-44,10500567.65846023
S0,1961,45-49,9075591.74236843
S0,1961,50-54,7830680.166762471
S0,1961,55-59,5937244.035645068
S0,1961,60-64,4944313.495863557
S0,1961,65-69,3081781.88503021
S0,1961,70-74,2333534.2351373136
S0,1961,75+,1737060.5087112486
S0,1961,0-8,
S0,1961,9-14,
S0,1961,0-17,
S0,1961,18-29,
S0,1961,30-65,
S0,1961,66+,
S0,1961,15-26,
S0,1961,27-45,
S0,1961,46-65,
S0,1962,00-04,35589612.07998277
S0,1962,05-09,29164449.42277138
S0,1962,10-14,23541483.950317085
S0,1962,15-19,19290593.10654795
S0,1962,20-24,17787638.9107444
S0,1962,25-29,16173753.06165424
S0,1962,30-34,14117583.531881899
S0,1962,35-39,12170657.980993569
S0,1962,40-44,10677039.134272218
S0,1962,45-49,9238212.39155677
S0,1962,50-54,7993860.0434247255
S0,1962,55-59,6159867.859419197
S0,1962,60-64,5010328.780542612
S0,1962,65-69,3265687.422481537
S0,1962,70-74,2327843.029896021
S0,1962,75+,1837417.1711278558
S0,1962,0-8,
S0,1962,9-14,
S0,1962,0-17,
S0,1962,18-29,
S0,1962,30-65,
S0,1962,66+,
S0,1962,15-26,
S0,1962,27-45,
S0,1962,46-65,
S0,1963,00-04,36283793.7457462
S0,1963,05-09,29967970.363581456
S0,1963,10-14,24685965.080724105
S0,1963,15-19,19680624.996775374
S0,1963,20-24,17853385.624485135
S0,1963,25-29,16480755.677836046
S0,1963,30-34,14427118.901007831
S0,1963,35-39,12403433.6536721
S0,1963,40-44,10847017.831989616
S0,1963,45-49,9420525.532295257
S0,1963,50-54,8108253.228541583
S0,1963,55-59,6435990.778844327
S0,1963,60-64,5016559.418018639
S0,1963,65-69,3522508.1462919116
S0,1963,70-74,2266785.634906471
S0,1963,75+,1962174.9653120935
S0,1963,0-8,
S0,1963,9-14,
S0,1963,0-17,
S0,1963,18-29,
S0,1963,30-65,
S0,1963,66+,
S0,1963,15-26,
S0,1963,27-45,
S0,1963,46-65,
S0,1964,00-04,36999180.75736894
S0,1964,05-09,30710385.551173702
S0,1964,10-14,25973476.905809075
S0,1964,15-19,20054464.356804967
S0,1964,20-24,17957169.149504155
S0,1964,25-29,16769658.974774212
S0,1964,30-34,14746169.931217223
S0,1964,35-39,12657317.060016245
S0,1964,40-44,11027501.214286804
S0,1964,45-49,9616570.69686836
S0,1964,50-54,8210530.42638889
S0,1964,55-59,6717072.025613278
